"id","facility_id","customer_name","expected_date","actual_date","total_weight"
2717168,78,"UNILEVER ASCC AG","2016-03-01 11:00:00","2016-03-01 10:36:56",33752
2717275,78,"UNILEVER ASCC AG","2016-03-01 09:00:00","2016-03-01 15:02:39",39806
2717305,78,"UNILEVER ASCC AG","2016-03-02 13:00:00","2016-03-07 12:48:27",62731
2717306,78,"UNILEVER ASCC AG","2016-03-02 13:00:00","2016-03-02 12:32:59",15924
2717386,78,"KYAWKHAING ENT INC.","2016-03-04 14:00:00","2016-03-04 13:53:22",1280
2717431,78,"UNILEVER ASCC AG","2016-03-01 07:00:00","2016-03-01 07:40:32",36153
2717435,78,"UNILEVER ASCC AG","2016-03-01 07:00:00","2016-03-01 09:13:18",37871
2717445,78,"UNILEVER ASCC AG","2016-03-01 14:00:00","2016-03-01 13:48:10",37253
2717452,78,"UNILEVER ASCC AG","2016-03-01 14:00:00","2016-03-01 14:38:26",36921
2717484,78,"UNILEVER ASCC AG","2016-03-01 09:02:00","2016-03-01 12:06:59",3761
2717485,78,"UNILEVER ASCC AG","2016-03-01 09:01:00","2016-03-01 12:09:30",1535
2717487,78,"UNILEVER ASCC AG","2016-03-01 08:00:00","2016-03-01 13:46:06",33909
2717515,78,"UNILEVER ASCC AG","2016-03-03 13:00:00","2016-03-03 08:40:44",38944
2717522,78,"UNILEVER ASCC AG","2016-03-02 14:00:00","2016-03-02 08:55:19",36443
2717530,78,"UNILEVER ASCC AG","2016-03-02 08:00:00","2016-03-02 13:30:23",38011
2717787,78,"UNILEVER ASCC AG","2016-03-01 07:00:00","2016-03-01 07:38:38",38531
2717793,78,"UNILEVER ASCC AG","2016-03-01 14:00:00","2016-03-01 11:22:40",5266
2717865,78,"UNILEVER ASCC AG","2016-03-02 11:02:00","2016-03-02 11:51:55",13416
2717867,78,"UNILEVER ASCC AG","2016-03-02 11:01:00","2016-03-02 11:32:22",21816
2717880,78,"UNILEVER ASCC AG","2016-03-03 07:00:00","2016-03-03 08:48:24",37279
2717889,78,"UNILEVER ASCC AG","2016-03-02 07:00:00","2016-03-02 08:24:17",39118
