,time,temperature
0,03/01/2016 00:00:00,41.8
1,03/01/2016 01:00:00,40.83
2,03/01/2016 02:00:00,35.73
3,03/01/2016 03:00:00,37.26
4,03/01/2016 04:00:00,36.34
5,03/01/2016 05:00:00,35.23
6,03/01/2016 06:00:00,34.21
7,03/01/2016 07:00:00,33.43
8,03/01/2016 08:00:00,39.73
9,03/01/2016 09:00:00,54.06
10,03/01/2016 10:00:00,60.18
11,03/01/2016 11:00:00,64.04
12,03/01/2016 12:00:00,66.36
13,03/01/2016 13:00:00,68.3
14,03/01/2016 14:00:00,69.41
15,03/01/2016 15:00:00,70.2
16,03/01/2016 16:00:00,67.07
17,03/01/2016 17:00:00,65.13
18,03/01/2016 18:00:00,63.65
19,03/01/2016 19:00:00,62.36
20,03/01/2016 20:00:00,63.09
21,03/01/2016 21:00:00,62.34
22,03/01/2016 22:00:00,62.23
23,03/01/2016 23:00:00,61.44
24,03/02/2016 00:00:00,62.23
25,03/02/2016 01:00:00,62.44
26,03/02/2016 02:00:00,58.8
27,03/02/2016 03:00:00,54.81
28,03/02/2016 04:00:00,52.1
29,03/02/2016 05:00:00,52.03
30,03/02/2016 06:00:00,50.77
31,03/02/2016 07:00:00,49.72
32,03/02/2016 08:00:00,47.83
33,03/02/2016 09:00:00,48.98
34,03/02/2016 10:00:00,49.59
35,03/02/2016 11:00:00,48.8
36,03/02/2016 12:00:00,47.85
37,03/02/2016 13:00:00,47.71
38,03/02/2016 14:00:00,47.81
39,03/02/2016 15:00:00,47.81
40,03/02/2016 16:00:00,47.74
41,03/02/2016 17:00:00,45.77
42,03/02/2016 18:00:00,42.88
43,03/02/2016 19:00:00,39.91
44,03/02/2016 20:00:00,37.87
45,03/02/2016 21:00:00,36.0
46,03/02/2016 22:00:00,33.12
47,03/02/2016 23:00:00,32.78
48,03/03/2016 00:00:00,30.88
49,03/03/2016 01:00:00,29.95
50,03/03/2016 02:00:00,28.71
51,03/03/2016 03:00:00,28.22
52,03/03/2016 04:00:00,27.32
53,03/03/2016 05:00:00,25.52
54,03/03/2016 06:00:00,24.39
55,03/03/2016 07:00:00,24.58
56,03/03/2016 08:00:00,30.91
57,03/03/2016 09:00:00,35.19
58,03/03/2016 10:00:00,36.91
59,03/03/2016 11:00:00,39.02
60,03/03/2016 12:00:00,40.14
61,03/03/2016 13:00:00,42.06
62,03/03/2016 14:00:00,43.03
63,03/03/2016 15:00:00,41.92
64,03/03/2016 16:00:00,42.07
65,03/03/2016 17:00:00,41.03
66,03/03/2016 18:00:00,39.99
67,03/03/2016 19:00:00,38.19
68,03/03/2016 20:00:00,37.05
69,03/03/2016 21:00:00,36.09
70,03/03/2016 22:00:00,35.27
71,03/03/2016 23:00:00,34.3
72,03/04/2016 00:00:00,31.26
73,03/04/2016 01:00:00,31.3
74,03/04/2016 02:00:00,31.19
75,03/04/2016 03:00:00,31.19
76,03/04/2016 04:00:00,31.19
77,03/04/2016 05:00:00,31.34
78,03/04/2016 06:00:00,32.12
79,03/04/2016 07:00:00,32.16
80,03/04/2016 08:00:00,32.16
81,03/04/2016 09:00:00,33.2
82,03/04/2016 10:00:00,34.35
83,03/04/2016 11:00:00,35.49
84,03/04/2016 12:00:00,39.02
85,03/04/2016 13:00:00,38.96
86,03/04/2016 14:00:00,40.06
87,03/04/2016 15:00:00,40.54
88,03/04/2016 16:00:00,41.53
89,03/04/2016 17:00:00,41.42
90,03/04/2016 18:00:00,39.45
91,03/04/2016 19:00:00,38.2
92,03/04/2016 20:00:00,36.46
93,03/04/2016 21:00:00,36.41
94,03/04/2016 22:00:00,37.97
95,03/04/2016 23:00:00,36.8
96,03/05/2016 00:00:00,33.85
97,03/05/2016 01:00:00,33.11
98,03/05/2016 02:00:00,32.61
99,03/05/2016 03:00:00,27.35
100,03/05/2016 04:00:00,28.8
101,03/05/2016 05:00:00,27.87
102,03/05/2016 06:00:00,27.11
103,03/05/2016 07:00:00,29.06
104,03/05/2016 08:00:00,32.18
105,03/05/2016 09:00:00,35.14
106,03/05/2016 10:00:00,36.32
107,03/05/2016 11:00:00,38.55
108,03/05/2016 12:00:00,40.3
109,03/05/2016 13:00:00,40.38
110,03/05/2016 14:00:00,40.56
111,03/05/2016 15:00:00,41.38
112,03/05/2016 16:00:00,42.17
113,03/05/2016 17:00:00,41.53
114,03/05/2016 18:00:00,41.24
115,03/05/2016 19:00:00,37.99
116,03/05/2016 20:00:00,37.93
117,03/05/2016 21:00:00,38.05
118,03/05/2016 22:00:00,38.05
119,03/05/2016 23:00:00,36.2
120,03/06/2016 00:00:00,36.05
121,03/06/2016 01:00:00,34.12
122,03/06/2016 02:00:00,33.92
123,03/06/2016 03:00:00,32.23
124,03/06/2016 04:00:00,31.29
125,03/06/2016 05:00:00,31.05
126,03/06/2016 06:00:00,32.8
127,03/06/2016 07:00:00,33.97
128,03/06/2016 08:00:00,35.16
129,03/06/2016 09:00:00,36.71
130,03/06/2016 10:00:00,39.37
131,03/06/2016 11:00:00,42.49
132,03/06/2016 12:00:00,44.52
133,03/06/2016 13:00:00,46.3
134,03/06/2016 14:00:00,48.9
135,03/06/2016 15:00:00,49.76
136,03/06/2016 16:00:00,49.27
137,03/06/2016 17:00:00,49.05
138,03/06/2016 18:00:00,46.59
139,03/06/2016 19:00:00,41.25
140,03/06/2016 20:00:00,39.25
141,03/06/2016 21:00:00,37.93
142,03/06/2016 22:00:00,36.12
143,03/06/2016 23:00:00,35.77
144,03/07/2016 00:00:00,34.98
145,03/07/2016 01:00:00,33.38
146,03/07/2016 02:00:00,31.6
147,03/07/2016 03:00:00,31.74
148,03/07/2016 04:00:00,31.96
149,03/07/2016 05:00:00,33.0
150,03/07/2016 06:00:00,32.7
151,03/07/2016 07:00:00,33.37
152,03/07/2016 08:00:00,38.52
153,03/07/2016 09:00:00,45.02
154,03/07/2016 10:00:00,49.38
155,03/07/2016 11:00:00,54.3
156,03/07/2016 12:00:00,57.35
157,03/07/2016 13:00:00,60.38
158,03/07/2016 14:00:00,63.23
159,03/07/2016 15:00:00,61.77
160,03/07/2016 16:00:00,64.27
161,03/07/2016 17:00:00,62.66
162,03/07/2016 18:00:00,61.26
163,03/07/2016 19:00:00,57.4
164,03/07/2016 20:00:00,57.21
165,03/07/2016 21:00:00,55.34
166,03/07/2016 22:00:00,54.5
167,03/07/2016 23:00:00,54.79
168,03/08/2016 00:00:00,57.17
169,03/08/2016 01:00:00,56.39
170,03/08/2016 02:00:00,55.47
171,03/08/2016 03:00:00,52.72
172,03/08/2016 04:00:00,50.02
173,03/08/2016 05:00:00,48.64
174,03/08/2016 06:00:00,45.02
175,03/08/2016 07:00:00,46.74
176,03/08/2016 08:00:00,54.36
177,03/08/2016 09:00:00,59.3
178,03/08/2016 10:00:00,64.49
179,03/08/2016 11:00:00,69.74
180,03/08/2016 12:00:00,73.55
181,03/08/2016 13:00:00,76.24
182,03/08/2016 14:00:00,78.05
183,03/08/2016 15:00:00,77.31
184,03/08/2016 16:00:00,77.34
185,03/08/2016 17:00:00,77.05
186,03/08/2016 18:00:00,70.21
187,03/08/2016 19:00:00,62.58
188,03/08/2016 20:00:00,59.23
189,03/08/2016 21:00:00,58.18
190,03/08/2016 22:00:00,55.35
191,03/08/2016 23:00:00,55.18
192,03/09/2016 00:00:00,54.01
193,03/09/2016 01:00:00,51.69
194,03/09/2016 02:00:00,55.32
195,03/09/2016 03:00:00,49.47
196,03/09/2016 04:00:00,51.17
197,03/09/2016 05:00:00,48.44
198,03/09/2016 06:00:00,50.41
199,03/09/2016 07:00:00,47.91
