Time,Temperature(F),Total Facility Power,Inbound(lbs),Onbound (lbs),Production,day,tod
3/1/16 0:00,41.8,823.1738631,0,0,0,Tue,00
3/1/16 1:00,40.83,787.8185864,0,0,0,Tue,01
3/1/16 2:00,35.73,741.6523767,0,0,0,Tue,02
3/1/16 3:00,37.26,768.0464175,0,0,0,Tue,03
3/1/16 4:00,36.34,808.4802844,0,0,0,Tue,04
3/1/16 5:00,35.23,784.3062667,0,0,0,Tue,05
3/1/16 6:00,34.21,821.3272436,0,19250,19250,Tue,06
3/1/16 7:00,33.43,788.3188056,0,75134,75134,Tue,07
3/1/16 8:00,39.73,754.8994736,0,0,0,Tue,08
3/1/16 9:00,54.06,820.2419292,73026,37871,110897,Tue,09
3/1/16 10:00,60.18,773.7385431,36189,33796,69985,Tue,10
3/1/16 11:00,64.04,856.4494714,77078,31769,108847,Tue,11
3/1/16 12:00,66.36,864.1459192,36053,5296,41349,Tue,12
3/1/16 13:00,68.3,838.4964039,0,71417,71417,Tue,13
3/1/16 14:00,69.41,843.7597631,2440,42521,44961,Tue,14
3/1/16 15:00,70.2,829.0323886,0,39806,39806,Tue,15
3/1/16 16:00,67.07,807.4865922,0,0,0,Tue,16
3/1/16 17:00,65.13,808.9808425,0,0,0,Tue,17
3/1/16 18:00,63.65,793.4082558,0,0,0,Tue,18
3/1/16 19:00,62.36,793.1121072,0,0,0,Tue,19
3/1/16 20:00,63.09,824.3304661,0,0,0,Tue,20
3/1/16 21:00,62.34,809.7759811,0,0,0,Tue,21
3/1/16 22:00,62.23,801.9751167,0,0,0,Tue,22
3/1/16 23:00,61.44,804.1623239,0,0,0,Tue,23
3/2/16 0:00,62.23,809.8584992,0,0,0,Wed,00
3/2/16 1:00,62.44,807.7963344,0,0,0,Wed,01
3/2/16 2:00,58.8,797.5923883,0,0,0,Wed,02
3/2/16 3:00,54.81,789.27985,0,19250,19250,Wed,03
3/2/16 4:00,52.1,780.6665103,0,0,0,Wed,04
3/2/16 5:00,52.03,838.9873886,0,0,0,Wed,05
3/2/16 6:00,50.77,835.7182567,2442,0,2442,Wed,06
3/2/16 7:00,49.72,827.5542944,38769,450,39219,Wed,07
3/2/16 8:00,47.83,798.0287786,117831,112990,230821,Wed,08
3/2/16 9:00,48.98,840.7750222,76814,75485,152299,Wed,09
3/2/16 10:00,49.59,862.6511197,0,64161,64161,Wed,10
3/2/16 11:00,48.8,854.1437533,49945,69807,119752,Wed,11
3/2/16 12:00,47.85,849.6999964,36432,15924,52356,Wed,12
3/2/16 13:00,47.71,850.45402,31122,85349,116471,Wed,13
3/2/16 14:00,47.81,807.2234253,0,91794,91794,Wed,14
3/2/16 15:00,47.81,832.8910714,0,0,0,Wed,15
3/2/16 16:00,47.74,821.3979181,0,0,0,Wed,16
3/2/16 17:00,45.77,803.4111858,0,0,0,Wed,17
3/2/16 18:00,42.88,791.4771217,0,0,0,Wed,18
3/2/16 19:00,39.91,737.7819764,0,0,0,Wed,19
3/2/16 20:00,37.87,733.6534094,0,0,0,Wed,20
