customer_name,time,total_weight
PERDUE FOODS LLC,3/1/16 8:21,56400
PERDUE FOODS LLC,3/1/16 8:32,55440
PERDUE FOODS LLC,3/1/16 9:53,57872
PERDUE FOODS LLC,3/1/16 10:34,57872
PERDUE FOODS LLC,3/1/16 10:44,56400
PILGRIM'S PRIDE BROADWAY(IRPS),3/1/16 10:58,0
PERDUE FOODS LLC,3/2/16 8:26,55440
UNITED SOURCE ONE,3/2/16 8:35,38400
PERDUE FOODS LLC,3/2/16 11:17,57872
PERDUE FOODS LLC,3/2/16 13:42,57493
PERDUE FOODS LLC,3/2/16 13:57,57493
PILGRIM'S PRIDE BROADWAY(IRPS),3/2/16 20:40,0
PERDUE FOODS LLC,3/3/16 9:58,57493
PERDUE FOODS LLC,3/3/16 13:06,57992
PERDUE FOODS LLC,3/3/16 13:56,57992
PERDUE FOODS LLC,3/3/16 16:04,44072
PERDUE FOODS LLC,3/4/16 8:05,57872
PERDUE FOODS LLC,3/4/16 8:52,57493
PERDUE FOODS LLC,3/4/16 9:01,57493
PERDUE FOODS LLC,3/4/16 10:18,57317
PERDUE FOODS LLC,3/4/16 11:09,57493
PERDUE FOODS LLC,3/4/16 11:14,57493
PERDUE FOODS LLC,3/7/16 8:26,57493
PERDUE FOODS LLC,3/7/16 8:42,57493
PERDUE FOODS LLC,3/7/16 9:48,56219
PERDUE FOODS LLC,3/7/16 10:10,57493
PERDUE FOODS LLC,3/7/16 10:59,57493
PERDUE FOODS LLC,3/7/16 12:29,56400
PERDUE FOODS LLC,3/7/16 13:11,56400
PERDUE FOODS LLC,3/7/16 13:55,57872
PILGRIM'S PRIDE BROADWAY(IRPS),3/7/16 17:04,0
PERDUE FOODS LLC,3/8/16 7:47,57493
PERDUE FOODS LLC,3/8/16 8:42,55440
PERDUE FOODS LLC,3/8/16 9:02,57493
PERDUE FOODS LLC,3/8/16 10:14,59480
PERDUE FOODS LLC,3/8/16 10:35,59520
PERDUE FOODS LLC,3/8/16 11:22,55440
ALICE FOOD CORP.,3/8/16 14:07,35195
PERDUE FOODS LLC,3/9/16 8:01,57493
PERDUE FOODS LLC,3/9/16 8:26,57933
PERDUE FOODS LLC,3/9/16 8:58,56038
PERDUE FOODS LLC,3/9/16 10:08,59522
PERDUE FOODS LLC,3/9/16 10:12,58008
PERDUE FOODS LLC,3/9/16 10:58,54534
