time,pallets
3/4/16 9:00,1
3/3/16 20:52,2
3/4/16 16:44,1
3/3/16 9:54,1
3/5/16 8:44,2
3/3/16 21:30,4
3/6/16 10:20,1
3/3/16 11:03,2
3/4/16 18:05,2
3/4/16 21:04,2
3/5/16 10:55,2
3/4/16 8:22,2
3/3/16 21:03,2
3/3/16 19:18,3
3/5/16 10:27,2
3/5/16 9:18,1
3/11/16 20:40,2
3/9/16 13:36,2
3/7/16 10:31,2
3/9/16 19:14,3
3/8/16 21:56,2
3/9/16 21:11,1
3/11/16 10:17,2
3/9/16 13:20,2
3/7/16 12:32,2
3/10/16 17:20,2
3/9/16 18:02,2
3/10/16 8:49,2
3/10/16 17:13,2
3/10/16 10:44,3
3/11/16 16:37,2
3/14/16 10:29,3
3/12/16 9:23,2
3/13/16 8:27,2
3/12/16 10:06,5
3/15/16 19:30,2
3/14/16 9:05,1
3/16/16 12:52,2
3/16/16 21:06,2
3/16/16 21:14,2
3/17/16 20:10,2
3/17/16 21:20,2
3/18/16 15:57,2
3/20/16 10:39,2
3/20/16 11:08,2
3/14/16 13:43,3
3/15/16 16:43,2
3/15/16 17:36,2
3/15/16 10:00,2
3/15/16 11:39,4
3/17/16 17:10,3
3/18/16 9:15,2
3/17/16 16:43,5
3/18/16 9:38,2
3/25/16 17:23,2
3/21/16 19:59,3
3/19/16 9:57,2
3/18/16 12:18,1
3/19/16 8:50,5
3/20/16 9:28,1
3/22/16 9:37,2
3/23/16 19:00,2
3/23/16 22:42,2
3/23/16 21:11,2
3/22/16 15:08,4
3/24/16 16:38,2
3/23/16 17:09,4
3/22/16 12:27,5
3/24/16 9:46,2
3/23/16 17:28,3
3/22/16 20:55,4
3/24/16 19:04,2
3/24/16 13:13,4
3/25/16 10:15,5
3/25/16 16:07,5
3/29/16 13:15,5
3/26/16 11:07,3
3/26/16 10:59,4
3/29/16 16:30,1
3/28/16 8:47,4
3/28/16 12:56,2
3/28/16 21:01,2
3/28/16 10:22,1
3/28/16 10:38,2
3/29/16 16:26,1
3/29/16 17:40,2
3/30/16 8:29,2
3/30/16 17:06,2
4/4/16 14:21,2
4/1/16 13:14,1
4/3/16 9:02,2
3/30/16 10:55,3
3/30/16 13:50,5
3/30/16 10:42,3
3/28/16 17:19,2
3/31/16 19:11,4
3/31/16 10:33,5
4/1/16 16:21,4
4/1/16 20:52,2
3/30/16 15:35,3
3/31/16 20:57,3
4/2/16 8:30,4
4/2/16 10:09,5
