kw,time,temp,in,out,day,tod
1367.1,3/1/16 0:00,46.49,0,0,Tue,00
1209.6,3/1/16 1:00,44.74,0,0,Tue,01
1215.9,3/1/16 2:00,44.49,0,0,Tue,02
1222.2,3/1/16 3:00,42.49,0,0,Tue,03
1234.8,3/1/16 4:00,41,0,0,Tue,04
1260,3/1/16 5:00,39.98,0,0,Tue,05
1020.6,3/1/16 6:00,43.35,0,0,Tue,06
970.2,3/1/16 7:00,43.9,0,0,Tue,07
1014.3,3/1/16 8:00,51.14,0,111840,Tue,08
1071,3/1/16 9:00,55.46,0,57872,Tue,09
1020.6,3/1/16 10:00,59.49,0,114272,Tue,10
1222.2,3/1/16 11:00,60.47,0,0,Tue,11
1234.8,3/1/16 12:00,60.05,0,0,Tue,12
1518.3,3/1/16 13:00,61.5,0,0,Tue,13
1499.4,3/1/16 14:00,61.74,0,0,Tue,14
1386,3/1/16 15:00,62.8,0,0,Tue,15
1341.9,3/1/16 16:00,65.21,0,0,Tue,16
1323,3/1/16 17:00,66.51,0,0,Tue,17
1285.2,3/1/16 18:00,68,0,0,Tue,18
1392.3,3/1/16 19:00,64.89,0,0,Tue,19
1600.2,3/1/16 20:00,63.62,0,0,Tue,20
1619.1,3/1/16 21:00,62.81,0,0,Tue,21
1644.3,3/1/16 22:00,61.81,0,0,Tue,22
1606.5,3/1/16 23:00,60.53,0,0,Tue,23
1575,3/2/16 0:00,61.09,0,0,Wed,00
1556.1,3/2/16 1:00,61.09,0,0,Wed,01
1518.3,3/2/16 2:00,60.95,0,0,Wed,02
1530.9,3/2/16 3:00,61.2,0,0,Wed,03
1499.4,3/2/16 4:00,59.64,0,0,Wed,04
1556.1,3/2/16 5:00,55.08,0,0,Wed,05
1581.3,3/2/16 6:00,53.14,0,0,Wed,06
1575,3/2/16 7:00,53.28,0,0,Wed,07
1568.7,3/2/16 8:00,52.97,0,93840,Wed,08
1524.6,3/2/16 9:00,52.69,0,0,Wed,09
1537.2,3/2/16 10:00,53.09,0,0,Wed,10
1619.1,3/2/16 11:00,50,0,57872,Wed,11
1644.3,3/2/16 12:00,49.43,0,0,Wed,12
1719.9,3/2/16 13:00,50.54,0,114986,Wed,13
1770.3,3/2/16 14:00,50.38,0,0,Wed,14
1757.7,3/2/16 15:00,50.1,0,0,Wed,15
1757.7,3/2/16 16:00,49.26,0,0,Wed,16
1745.1,3/2/16 17:00,47.98,0,0,Wed,17
1745.1,3/2/16 18:00,46,0,0,Wed,18
1808.1,3/2/16 19:00,44.14,0,0,Wed,19
1814.4,3/2/16 20:00,43,0,0,Wed,20
1896.3,3/2/16 21:00,41.28,0,0,Wed,21
1839.6,3/2/16 22:00,40.14,0,0,Wed,22
1801.8,3/2/16 23:00,38.83,0,0,Wed,23
1745.1,3/3/16 0:00,37.41,0,0,Thu,00
1738.8,3/3/16 1:00,36.41,0,0,Thu,01
1732.5,3/3/16 2:00,35.97,0,0,Thu,02
1738.8,3/3/16 3:00,35.83,0,0,Thu,03
1719.9,3/3/16 4:00,34.97,0,0,Thu,04
1701,3/3/16 5:00,34.97,0,0,Thu,05
1713.6,3/3/16 6:00,34.83,0,0,Thu,06
1732.5,3/3/16 7:00,35.7,0,0,Thu,07
1738.8,3/3/16 8:00,37.14,0,0,Thu,08
1745.1,3/3/16 9:00,38.56,1,57493,Thu,09
1719.9,3/3/16 10:00,39.27,0,0,Thu,10
1694.7,3/3/16 11:00,38.82,2,0,Thu,11
1757.7,3/3/16 12:00,39.09,0,0,Thu,12
1732.5,3/3/16 13:00,39.37,0,115984,Thu,13
1764,3/3/16 14:00,39.4,0,0,Thu,14
1795.5,3/3/16 15:00,38,2,0,Thu,15
1827,3/3/16 16:00,37.98,0,44072,Thu,16
1801.8,3/3/16 17:00,37.75,2,0,Thu,17
1719.9,3/3/16 18:00,37.59,0,0,Thu,18
