"id","facility_id","customer_name","expected_date","actual_date","total_weight"
1365251,89,"JBS","2016-03-01 19:30:00","2016-03-01 07:30:00",36667
1365261,89,"JBS","2016-03-01 15:45:00","2016-03-01 08:00:00",36133
1364827,89,"SMITHFIELD FARMLAND SALES CORP","2016-03-01 08:29:00","2016-03-01 08:29:00",32319
1365274,89,"JBS","2016-03-01 08:56:00","2016-03-01 08:56:00",21078
1364831,89,"SMITHFIELD FARMLAND SALES CORP","2016-03-01 09:13:00","2016-03-01 09:13:00",28509
1364997,89,"SMITHFIELD FARMLAND SALES CORP","2016-03-01 10:50:00","2016-03-01 10:50:00",31858
1364063,89,"SMITHFIELD FARMLAND SALES CORP","2016-03-01 13:53:00","2016-03-01 13:53:00",34422
1364067,89,"SMITHFIELD FARMLAND SALES CORP","2016-03-01 21:06:00","2016-03-01 19:00:00",34814
1365427,89,"SMITHFIELD FARMLAND SALES CORP","2016-03-02 19:37:00","2016-03-02 07:25:00",38250
1364999,89,"SMITHFIELD FARMLAND SALES CORP","2016-03-02 20:23:00","2016-03-02 07:36:00",32263
1364843,89,"SMITHFIELD FARMLAND SALES CORP","2016-03-02 20:14:00","2016-03-02 08:10:00",32899
1365771,89,"SMITHFIELD FARMLAND SALES CORP","2016-03-02 09:54:00","2016-03-02 09:54:00",38250
1365764,89,"SMITHFIELD FARMLAND SALES CORP","2016-03-02 11:35:00","2016-03-02 11:13:00",38250
1364826,89,"SMITHFIELD FARMLAND SALES CORP","2016-03-02 12:39:00","2016-03-02 12:39:00",32269
1364070,89,"SMITHFIELD FARMLAND SALES CORP","2016-03-02 19:30:00","2016-03-02 13:47:00",30137
1364071,89,"SMITHFIELD FARMLAND SALES CORP","2016-03-02 14:55:00","2016-03-02 14:55:00",26162
1364859,89,"SMITHFIELD FARMLAND SALES CORP","2016-03-02 19:45:00","2016-03-02 19:25:00",32770
1364377,89,"SMITHFIELD FARMLAND SALES CORP","2016-03-03 20:23:00","2016-03-03 06:00:00",36000
1364072,89,"SMITHFIELD FARMLAND SALES CORP","2016-03-03 08:12:00","2016-03-03 07:35:00",32964
1364068,89,"SMITHFIELD FARMLAND SALES CORP","2016-03-03 20:35:00","2016-03-03 08:20:00",36199
