"id","facility_id","customer_name","planned_date","started_date","finished_date","pallets"
1364068,89,"SMITHFIELD FARMLAND SALES CORP","2016-03-03 08:20:00","2016-03-03 15:53:07","2016-03-03 16:19:27",24
1364072,89,"SMITHFIELD FARMLAND SALES CORP","2016-03-03 07:35:00","2016-03-03 10:20:25","2016-03-03 10:34:01",24
1364076,89,"SMITHFIELD FARMLAND SALES CORP","2016-03-03 14:45:00","2016-03-03 17:41:15","2016-03-03 18:12:14",28
1364077,89,"SMITHFIELD FARMLAND SALES CORP","2016-03-04 11:16:00","2016-03-05 04:40:54","2016-03-05 04:49:26",24
1364078,89,"SMITHFIELD FARMLAND SALES CORP","2016-03-03 08:35:00","2016-03-03 13:28:03","2016-03-03 14:19:22",24
1364079,89,"SMITHFIELD FARMLAND SALES CORP","2016-03-03 20:04:00","2016-03-03 21:49:32","2016-03-03 22:02:42",24
1364081,89,"SMITHFIELD FARMLAND SALES CORP","2016-03-03 12:40:00","2016-03-03 16:39:23","2016-03-03 16:59:45",27
1364083,89,"SMITHFIELD FARMLAND SALES CORP","2016-03-04 08:55:00","2016-03-05 04:49:40","2016-03-05 05:14:38",24
1364084,89,"SMITHFIELD FARMLAND SALES CORP","2016-03-05 10:15:00","2016-03-05 21:23:47","2016-03-05 21:34:20",24
1364086,89,"SMITHFIELD FARMLAND SALES CORP","2016-03-06 08:40:00","2016-03-08 02:50:02","2016-03-08 03:19:56",30
1364088,89,"SMITHFIELD FARMLAND SALES CORP","2016-03-05 00:04:00","2016-03-05 02:10:16","2016-03-05 16:33:12",19
1364089,89,"SMITHFIELD FARMLAND SALES CORP","2016-03-05 09:36:00","2016-03-05 14:50:32","2016-03-05 15:01:02",26
1364093,89,"SMITHFIELD FARMLAND SALES CORP","2016-03-08 13:40:00","2016-03-09 00:15:17","2016-03-09 00:21:01",24
1364094,89,"SMITHFIELD FARMLAND SALES CORP","2016-03-09 08:56:00","2016-03-09 12:26:50","2016-03-09 13:45:01",22
1364095,89,"SMITHFIELD FARMLAND SALES CORP","2016-03-05 09:03:00","2016-03-05 21:15:19","2016-03-05 21:23:08",26
1364096,89,"SMITHFIELD FARMLAND SALES CORP","2016-03-08 09:06:00","2016-03-08 16:15:33","2016-03-08 16:29:16",22
1364098,89,"SMITHFIELD FARMLAND SALES CORP","2016-03-06 09:20:00","2016-03-07 19:16:47","2016-03-07 19:30:17",29
1364101,89,"SMITHFIELD FARMLAND SALES CORP","2016-03-08 15:25:00","2016-03-08 18:43:46","2016-03-08 18:54:23",24
1364102,89,"SMITHFIELD FARMLAND SALES CORP","2016-03-09 10:02:00","2016-03-09 15:25:31","2016-03-09 15:33:50",26
