time,temp
11/19/15 1:00,44.36
11/19/15 2:00,44.19
11/19/15 3:00,43.79
11/19/15 4:00,41.23
11/19/15 5:00,39.95
11/19/15 6:00,38.76
11/19/15 7:00,38.56
11/19/15 8:00,39.61
11/19/15 9:00,40.29
11/19/15 10:00,41.61
11/19/15 11:00,42.34
11/19/15 12:00,42.04
11/19/15 13:00,41.45
11/19/15 14:00,39.96
11/19/15 15:00,37.82
11/19/15 16:00,36.45
11/19/15 17:00,35.41
11/19/15 18:00,34.8
11/19/15 19:00,35.19
11/19/15 20:00,34.57
11/19/15 21:00,34.41
11/19/15 22:00,33.19
11/19/15 23:00,32.7
11/20/15 0:00,32.61
11/20/15 1:00,31.27
11/20/15 2:00,31.1
11/20/15 3:00,30.67
11/20/15 4:00,30.09
11/20/15 5:00,29.77
11/20/15 6:00,32
11/20/15 7:00,35.62
11/20/15 8:00,37.97
11/20/15 9:00,38.42
11/20/15 10:00,38.34
11/20/15 11:00,38.34
11/20/15 12:00,37.86
11/20/15 13:00,37.45
11/20/15 14:00,37.02
11/20/15 15:00,36.01
11/20/15 16:00,33.45
11/20/15 17:00,32.51
11/20/15 18:00,32.29
11/20/15 19:00,32.13
11/20/15 20:00,32.03
11/20/15 21:00,32.03
11/20/15 22:00,32.19
11/20/15 23:00,32.41
11/21/15 0:00,33.03
11/21/15 1:00,32.92
11/21/15 2:00,32.92
11/21/15 3:00,32.78
11/21/15 4:00,32.62
11/21/15 5:00,32.81
11/21/15 6:00,31.75
11/21/15 7:00,31.63
11/21/15 8:00,29.55
11/21/15 9:00,29.23
11/21/15 10:00,28.85
11/21/15 11:00,28.44
11/21/15 12:00,28.44
11/21/15 13:00,27.55
11/21/15 14:00,26.86
11/21/15 15:00,25.9
11/21/15 16:00,24.37
11/21/15 17:00,21.35
11/21/15 18:00,19.33
11/21/15 19:00,18.59
11/21/15 20:00,17.05
11/21/15 21:00,15.08
11/21/15 22:00,10.85
11/21/15 23:00,9.82
11/22/15 0:00,6.99
11/22/15 1:00,8.01
11/22/15 2:00,6.07
11/22/15 3:00,5.83
11/22/15 4:00,5.67
11/22/15 5:00,6.1
11/22/15 6:00,9.1
11/22/15 7:00,12.7
11/22/15 8:00,15.08
11/22/15 9:00,18.71
11/22/15 10:00,20.46
11/22/15 11:00,21.46
11/22/15 12:00,22.61
11/22/15 13:00,23.21
11/22/15 14:00,23.35
11/22/15 15:00,22.46
11/22/15 16:00,21.81
11/22/15 17:00,22.38
11/22/15 18:00,23.93
11/22/15 19:00,25.28
11/22/15 20:00,25.47
11/22/15 21:00,26.53
11/22/15 22:00,26.94
11/22/15 23:00,26.6
11/23/15 0:00,25
11/23/15 1:00,25.4
11/23/15 2:00,23.56
11/23/15 3:00,21.19
11/23/15 4:00,20.39
11/23/15 5:00,21.65
11/23/15 6:00,23.72
11/23/15 7:00,27
11/23/15 8:00,28.8
11/23/15 9:00,30.37
11/23/15 10:00,32.66
11/23/15 11:00,34.86
11/23/15 12:00,34.72
11/23/15 13:00,35.44
11/23/15 14:00,33.91
11/23/15 15:00,32.07
11/23/15 16:00,30.37
11/23/15 17:00,28.65
11/23/15 18:00,26.35
11/23/15 19:00,25.81
11/23/15 20:00,26.76
