Time,totalKW,subpanels,ahu
9/1/15 0:00,723.9084992,,
9/1/15 1:00,720.9341119,,
9/1/15 2:00,676.3160567,,
9/1/15 3:00,957.275925,,
9/1/15 4:00,991.9267308,,
9/1/15 5:00,1030.190268,,
9/1/15 6:00,1025.382851,,
9/1/15 7:00,943.6097681,,
9/1/15 8:00,1065.0091,,
9/1/15 9:00,1107.476407,,
9/1/15 9:01,1107.476407,,
9/1/15 10:00,1104.337406,,
9/1/15 11:00,1142.873516,,
9/1/15 11:01,1142.873516,,
9/1/15 12:00,1118.790585,,
9/1/15 13:00,1054.789095,,
9/1/15 14:00,1034.982182,,
9/1/15 15:00,806.4696458,,
9/1/15 16:00,793.4060208,,
9/1/15 16:01,793.4060208,,
9/1/15 17:00,844.0557797,,
9/1/15 18:00,845.9794264,,
9/1/15 18:01,845.9794264,,
9/1/15 19:00,742.3539747,,
9/1/15 20:00,771.9927122,,
9/1/15 20:01,771.9927122,,
9/1/15 21:00,749.0893092,,
9/1/15 22:00,762.1403264,,
9/1/15 23:00,713.4394003,,
9/2/15 0:00,746.6260139,,
9/2/15 1:00,739.6730625,,
9/2/15 2:00,710.5955944,,
9/2/15 3:00,986.7592694,,
9/2/15 4:00,977.8980822,,
9/2/15 5:00,1036.523994,,
9/2/15 6:00,1036.241893,,
9/2/15 7:00,1005.731704,,
9/2/15 8:00,1133.423474,,
9/2/15 9:00,1171.644534,,
9/2/15 9:01,1171.644534,,
9/2/15 10:00,1137.72191,,
9/2/15 11:00,1144.276559,,
9/2/15 12:00,1167.388076,,
9/2/15 12:01,1167.388076,,
9/2/15 13:00,1160.26637,,
9/2/15 14:00,1116.6942,,
9/2/15 15:00,891.4667267,,
9/2/15 16:00,789.8089353,,
9/2/15 17:00,883.7340333,,188.6524983
9/2/15 18:00,881.4794717,,190.8267764
9/2/15 18:01,881.4794717,,183.7107419
9/2/15 19:00,769.6210942,,181.7366694
9/2/15 20:00,830.0740347,,179.42298
9/2/15 21:00,746.1161686,,181.8712381
9/2/15 21:01,746.1161686,379.1994717,193.3782814
9/2/15 22:00,831.8552875,360.1063358,218.802755
9/2/15 22:01,831.8552875,317.4840986,233.4912814
9/2/15 23:00,764.0787753,385.5850814,238.3961108
9/3/15 0:00,766.2963472,386.7545719,245.1792019
9/3/15 1:00,717.6564111,407.0207197,253.9453417
9/3/15 2:00,734.0142094,396.4671572,253.9453417
9/3/15 3:00,859.5889242,386.9540319,250.2455856
9/3/15 4:00,924.9654694,418.9737283,252.4995542
9/3/15 5:00,972.7433933,416.0653314,253.4150453
9/3/15 5:01,972.7433933,420.19688,249.9022269
9/3/15 6:00,1012.951637,430.7274858,246.5078886
9/3/15 7:00,1010.303063,421.4976472,236.2856847
9/3/15 8:00,1018.848838,398.5791056,226.8205278
9/3/15 9:00,1112.913503,411.4326358,219.5207556
9/3/15 9:01,1112.913503,384.9952142,208.4233031
9/3/15 10:00,1123.809079,359.4708236,197.0071119
