time,totalKW,subpanels,ahu,temp,Day,Time
9/2/15 21:00,746.1161686,379.1994717,187.6247598,69.66,Wed,21
9/2/15 22:00,831.8552875,338.7952172,226.1470182,68.12,Wed,22
9/2/15 23:00,764.0787753,385.5850814,238.3961108,67.25,Wed,23
9/3/15 0:00,766.2963472,386.7545719,245.1792019,66.71,Thu,00
9/3/15 1:00,717.6564111,407.0207197,253.9453417,66.19,Thu,01
9/3/15 2:00,734.0142094,396.4671572,253.9453417,65.56,Thu,02
9/3/15 3:00,859.5889242,386.9540319,250.2455856,65.32,Thu,03
9/3/15 4:00,924.9654694,418.9737283,252.4995542,64.47,Thu,04
9/3/15 5:00,972.7433933,418.1311057,251.6586361,68.2,Thu,05
9/3/15 6:00,1012.951637,430.7274858,246.5078886,73.42,Thu,06
9/3/15 7:00,1010.303063,421.4976472,236.2856847,78.12,Thu,07
9/3/15 8:00,1018.848838,398.5791056,226.8205278,81.49,Thu,08
9/3/15 9:00,1112.913503,398.213925,213.9720293,83.56,Thu,09
9/3/15 10:00,1123.809079,359.4708236,197.0071119,84.72,Thu,10
9/3/15 11:00,1132.518056,394.5101733,195.4528689,86.34,Thu,11
9/3/15 12:00,1091.700343,367.9201479,193.8444161,87.61,Thu,12
9/3/15 13:00,1066.612789,373.5505706,186.3005836,87.1,Thu,13
9/3/15 14:00,1035.711526,373.5505706,190.0728347,85.38,Thu,14
9/3/15 15:00,857.1813303,375.4124378,183.8529422,83.39,Thu,15
9/3/15 16:00,765.1443442,391.1258278,184.6768881,80.16,Thu,16
9/3/15 17:00,851.9188475,361.8135433,183.2248489,76.7,Thu,17
9/3/15 18:00,829.8690786,381.6445505,195.6887036,73.72,Thu,18
9/3/15 19:00,746.5414286,336.9778308,220.8661692,73.08,Thu,19
9/3/15 20:00,763.5619133,391.2333469,236.2091819,71.72,Thu,20
9/3/15 21:00,732.9815631,382.9177322,242.6022758,70.35,Thu,21
9/3/15 22:00,736.8334633,413.0371353,246.0161947,70.11,Thu,22
9/3/15 23:00,675.0164508,406.0487956,247.8316258,68.98,Thu,23
9/4/15 0:00,662.0375128,382.6651228,250.6901731,68.44,Fri,00
9/4/15 1:00,713.5585781,446.71444,246.9557028,68.25,Fri,01
9/4/15 2:00,692.1512267,455.2951508,247.2401725,67.71,Fri,02
9/4/15 3:00,998.9560783,452.3020851,252.2254917,67.91,Fri,03
9/4/15 4:00,978.3156458,454.8825036,241.6512631,67.17,Fri,04
9/4/15 5:00,904.3799797,461.8137244,237.6236589,71.58,Fri,05
9/4/15 6:00,856.5586661,461.2199275,230.7234431,76.48,Fri,06
9/4/15 7:00,951.7523658,431.2574492,222.6113747,81.44,Fri,07
9/4/15 8:00,1034.827597,386.4511281,225.6380889,84.48,Fri,08
9/4/15 9:00,971.6880675,429.5866583,225.6380889,85.99,Fri,09
9/4/15 10:00,961.4324003,430.7061842,212.2876083,88.88,Fri,10
9/4/15 11:00,973.7708156,377.9744214,212.3738419,85.26,Fri,11
9/4/15 12:00,924.4188356,407.3601258,212.3738419,78.24,Fri,12
9/4/15 13:00,771.7596903,364.8586842,197.0557731,77.37,Fri,13
9/4/15 14:00,755.1997831,419.6299383,193.5643497,78.78,Fri,14
9/4/15 15:00,733.2373875,390.2730422,189.6361706,77.39,Fri,15
9/4/15 16:00,691.3224497,400.2467178,172.8474994,75.34,Fri,16
9/4/15 17:00,740.9688831,382.3771009,179.5041795,73.58,Fri,17
9/4/15 18:00,714.9845083,365.6054886,180.9083136,71.76,Fri,18
9/4/15 19:00,649.5731039,369.6331897,167.0984339,70.93,Fri,19
9/4/15 20:00,499.3821272,382.1791453,163.6541467,70.34,Fri,20
9/4/15 21:00,265.7936597,397.7629247,174.2459167,70.08,Fri,21
9/4/15 22:00,254.6742525,400.1043686,196.7228664,69.12,Fri,22
9/4/15 23:00,247.2706869,402.2727425,210.9145236,69.02,Fri,23
9/5/15 0:00,238.7445394,437.13497,213.5363222,68.17,Sat,00
9/5/15 1:00,224.2689747,442.0789314,217.9317667,67.36,Sat,01
9/5/15 2:00,213.7567797,453.4055308,218.148715,67.05,Sat,02
9/5/15 3:00,198.2804361,420.7542011,212.6912792,68.34,Sat,03
9/5/15 4:00,203.2627617,430.2752413,215.0213725,68.83,Sat,04
9/5/15 5:00,203.9173183,412.6953531,204.7310297,70.24,Sat,05
9/5/15 6:00,212.2101356,367.6355917,206.1180292,70.95,Sat,06
9/5/15 7:00,222.8465972,417.8886264,206.1180292,72.73,Sat,07
9/5/15 8:00,242.1290633,406.4025461,196.9403489,76.18,Sat,08
9/5/15 9:00,253.5374219,406.4025461,195.8585242,77.53,Sat,09
9/5/15 10:00,255.3396317,371.9520336,188.0392254,78.97,Sat,10
9/5/15 11:00,265.9346542,375.5067573,181.0062456,79.92,Sat,11
9/5/15 12:00,266.6973419,338.3379939,177.4517186,76.9,Sat,12
9/5/15 13:00,258.5758064,350.6007304,173.8794656,80.12,Sat,13
9/5/15 14:00,255.0235069,372.7649567,177.3607068,77.89,Sat,14
9/5/15 15:00,252.5694181,377.7088854,185.4694278,78.08,Sat,15
9/5/15 16:00,245.4850444,361.6987347,192.2867825,76.03,Sat,16
9/5/15 17:00,249.4724492,405.7170753,192.2867825,73.3,Sat,17
9/5/15 18:00,245.3759075,428.9441188,214.6705341,71.58,Sat,18
9/5/15 19:00,227.0177664,401.8100153,233.7391506,70.86,Sat,19
9/5/15 20:00,209.96624,423.4969428,238.2938658,69.3,Sat,20
9/5/15 21:00,198.1583472,403.7201156,247.3380603,67.78,Sat,21
9/5/15 22:00,168.9148925,360.1034522,247.3380603,66.73,Sat,22
9/5/15 23:00,163.2078372,363.5555069,243.0782186,66.02,Sat,23
9/6/15 0:00,164.9074972,363.5555069,236.2979947,65.59,Sun,00
9/6/15 1:00,165.8663019,346.1488164,227.4615381,64.97,Sun,01
9/6/15 2:00,159.6936419,326.5608511,228.2873744,65.26,Sun,02
9/6/15 3:00,167.5299033,345.8885179,226.53547,64.48,Sun,03
9/6/15 4:00,155.5879039,313.5178775,221.3622447,64.14,Sun,04
9/6/15 5:00,158.06018,178.8327209,202.5210689,65.43,Sun,05
9/6/15 6:00,168.0066647,121.1153683,182.4104206,68.7,Sun,06
9/6/15 7:00,183.6032233,121.1153683,152.7005792,72.49,Sun,07
9/6/15 8:00,220.2988044,109.3960688,154.0267017,74.53,Sun,08
9/6/15 9:00,236.2213017,98.40141972,150.4872022,76.52,Sun,09
9/6/15 10:00,237.7829417,96.88684111,149.1038036,77.12,Sun,10
9/6/15 11:00,240.0618522,89.64429945,142.7166342,78.85,Sun,11
9/6/15 12:00,244.0089792,91.57502,131.5557972,79.63,Sun,12
9/6/15 13:00,241.3525939,90.88890139,121.2458511,79.78,Sun,13
9/6/15 14:00,244.3151878,93.74015944,121.6873211,79.33,Sun,14
9/6/15 15:00,251.5436614,90.42219722,128.252855,78.71,Sun,15
9/6/15 16:00,244.0850903,95.00668528,137.7337331,76.01,Sun,16
9/6/15 17:00,232.3374153,100.8409883,158.4595978,73.72,Sun,17
9/6/15 18:00,218.8324925,98.77971917,170.7310528,72.34,Sun,18
9/6/15 19:00,214.9928197,101.5855928,173.5429186,71.75,Sun,19
9/6/15 20:00,202.0757342,95.48961056,176.7685392,71.2,Sun,20
9/6/15 21:00,214.5839147,95.20308819,190.8245778,71.26,Sun,21
9/6/15 22:00,204.3984781,93.82601861,195.1601553,70.48,Sun,22
9/6/15 23:00,203.8948306,98.45042806,186.3009317,70.93,Sun,23
9/7/15 0:00,203.0095106,97.70538778,185.2278806,70.83,Mon,00
9/7/15 1:00,204.4682314,94.99926791,183.850375,70.93,Mon,01
9/7/15 2:00,203.975915,94.958615,182.2017381,70.93,Mon,02
9/7/15 3:00,197.9071606,91.71173222,182.2017381,70.83,Mon,03
9/7/15 4:00,191.6758906,88.90274167,166.3806742,70.53,Mon,04
9/7/15 5:00,186.3808519,85.59028417,145.9788747,71.1,Mon,05
9/7/15 6:00,191.7227786,87.36698445,127.1543046,72.9,Mon,06
9/7/15 7:00,202.4584939,90.16558944,99.60223944,75.41,Mon,07
9/7/15 8:00,216.3058614,84.58943528,99.60223944,77.46,Mon,08
9/7/15 9:00,236.9057353,80.72809444,94.38824222,80.03,Mon,09
9/7/15 10:00,253.2854403,81.94239417,101.4184422,81.91,Mon,10
9/7/15 11:00,267.8912864,80.74028305,101.4184422,83.07,Mon,11
9/7/15 12:00,262.5545239,85.61909528,99.53272944,83.32,Mon,12
9/7/15 13:00,273.5508503,85.53629834,97.29053292,83.43,Mon,13
9/7/15 14:00,264.9027994,87.33173222,95.05574333,83.7,Mon,14
9/7/15 15:00,267.1972567,87.6748757,102.6203439,81.99,Mon,15
9/7/15 16:00,259.0319247,89.65619972,134.4167689,78.09,Mon,16
9/7/15 17:00,241.0692922,92.71286583,165.7829844,75.86,Mon,17
9/7/15 18:00,231.3341792,89.92727278,165.7829844,74.23,Mon,18
9/7/15 19:00,258.8852942,88.10649,178.0747331,73.48,Mon,19
9/7/15 20:00,574.5210808,89.13119139,182.1266048,71.47,Mon,20
9/7/15 21:00,666.6972906,89.27215139,185.6163178,70.01,Mon,21
9/7/15 22:00,692.5061344,88.85192417,185.9836931,69.91,Mon,22
9/7/15 23:00,670.4719192,88.52978194,184.2377061,69.62,Mon,23
9/8/15 0:00,719.8986108,87.06612417,188.1384442,69.67,Tue,00
9/8/15 1:00,698.6366994,87.29811917,181.5051614,68.49,Tue,01
9/8/15 2:00,692.9010333,86.4693475,176.4727,68.98,Tue,02
9/8/15 3:00,891.5782986,85.14183917,176.4727,68.34,Tue,03
9/8/15 4:00,898.5354125,83.89673611,156.5203297,68.52,Tue,04
9/8/15 5:00,987.6388356,82.67877611,151.4913925,70.08,Tue,05
9/8/15 6:00,1006.117209,82.90839278,141.2918131,72.01,Tue,06
9/8/15 7:00,1106.251717,84.13205389,147.2690628,74.88,Tue,07
9/8/15 8:00,1088.848472,83.67752222,144.0291964,77.2,Tue,08
9/8/15 9:00,1136.181429,87.41305278,144.0291964,81.74,Tue,09
9/8/15 10:00,1099.207005,89.55376389,143.5984861,82.65,Tue,10
9/8/15 11:00,1137.82467,97.44163972,144.3276153,85.49,Tue,11
9/8/15 12:00,1134.172661,95.10834833,143.7162892,84.63,Tue,12
9/8/15 13:00,1069.25906,96.85603472,143.7162892,85.42,Tue,13
9/8/15 14:00,1066.732697,96.98740333,142.19493,85.22,Tue,14
9/8/15 15:00,869.66981,96.23829056,140.3285522,84.49,Tue,15
9/8/15 16:00,799.1886239,94.88705014,133.0913549,80.98,Tue,16
9/8/15 17:00,850.2655875,93.71529889,135.6644394,76.76,Tue,17
9/8/15 18:00,836.1279283,106.5902881,150.0563058,75.84,Tue,18
9/8/15 19:00,793.6902697,294.1123442,173.531567,74.47,Tue,19
9/8/15 20:00,837.6622367,351.6007033,194.6604236,73.52,Tue,20
9/8/15 21:00,789.8548975,351.5194406,198.931117,73.09,Tue,21
9/8/15 22:00,815.4663467,351.0634981,200.51863,71.82,Tue,22
9/8/15 23:00,791.5081847,325.5659144,196.4531003,71.51,Tue,23
9/9/15 0:00,829.3643344,372.3564922,196.3323083,71.41,Wed,00
9/9/15 1:00,792.4442017,366.7914869,187.9017956,71.31,Wed,01
9/9/15 2:00,775.3599319,397.2741492,175.4222825,70.68,Wed,02
9/9/15 3:00,998.8677444,411.5285928,161.1890592,69.73,Wed,03
9/9/15 4:00,1060.793011,429.2726481,165.5528008,69.74,Wed,04
9/9/15 5:00,936.1566153,431.3585786,175.9393672,72.64,Wed,05
9/9/15 6:00,1074.777474,431.3585786,177.7806403,77.87,Wed,06
9/9/15 7:00,1107.269441,442.3858128,182.857345,80.91,Wed,07
9/9/15 8:00,1077.567968,411.3614142,176.8767231,83.35,Wed,08
9/9/15 9:00,1116.747485,452.3034153,178.2023256,86.15,Wed,09
9/9/15 10:00,1115.00044,452.3034153,175.0025831,85.99,Wed,10
9/9/15 11:00,1160.779734,442.2848636,184.1682631,87.51,Wed,11
9/9/15 12:00,1165.604646,404.210655,184.1682631,87.29,Wed,12
9/9/15 13:00,1145.479942,446.3719903,181.2397622,86.6,Wed,13
9/9/15 14:00,1115.439137,396.2580267,194.6139922,87.66,Wed,14
9/9/15 15:00,873.4757361,401.4756972,219.6382633,86.21,Wed,15
9/9/15 16:00,805.0449914,392.0969692,225.3426146,82.68,Wed,16
9/9/15 17:00,906.0090947,400.69071,227.2727975,79.51,Wed,17
9/9/15 18:00,841.6394306,386.3261283,215.6423467,77.72,Wed,18
9/9/15 19:00,753.1254322,406.2209511,235.6936039,74.61,Wed,19
9/9/15 20:00,851.1951647,402.4194965,234.1957485,73.29,Wed,20
9/9/15 21:00,709.3523922,384.1356592,241.70267,71.97,Wed,21
9/9/15 22:00,822.4291686,355.9433025,236.9507444,71.97,Wed,22
9/9/15 23:00,779.1664625,394.2441275,235.2978394,72.39,Wed,23
9/10/15 0:00,812.9187922,401.0932083,228.0048075,72.93,Thu,00
9/10/15 1:00,825.6437758,380.3349256,219.8690579,73.05,Thu,01
9/10/15 2:00,831.1394561,422.9736886,218.8668381,72.73,Thu,02
9/10/15 3:00,1053.888793,427.8609181,217.7429922,72.83,Thu,03
9/10/15 4:00,1074.68266,431.6281514,215.8415897,72.83,Thu,04
9/10/15 5:00,1062.129083,427.2522078,214.3688111,73.58,Thu,05
9/10/15 6:00,1022.545231,456.7257953,214.1354194,74.46,Thu,06
9/10/15 7:00,1104.921175,458.5560417,216.5787081,75.83,Thu,07
9/10/15 8:00,1123.925845,452.8647325,210.1630039,78.75,Thu,08
9/10/15 9:00,1145.378314,450.6637975,210.1630039,81.64,Thu,09
9/10/15 10:00,1144.372919,403.1048958,207.6773553,83.71,Thu,10
9/10/15 11:00,1122.038449,374.5425053,206.351695,85.35,Thu,11
9/10/15 12:00,1157.748004,391.8494322,198.8777908,86.24,Thu,12
9/10/15 13:00,1065.414706,400.1937097,214.2209322,85.66,Thu,13
9/10/15 14:00,1025.853137,361.9508936,224.0317286,80.26,Thu,14
9/10/15 15:00,806.6603914,409.3684969,227.2057011,74.64,Thu,15
9/10/15 16:00,25.99962686,407.0808621,229.1399398,72.76,Thu,16
9/10/15 17:00,3.053458111,439.3080822,216.3078116,71.75,Thu,17
9/10/15 18:00,295.4396531,390.3257986,216.0331633,72.66,Thu,18
9/10/15 19:00,727.8776136,10.7432475,215.7599406,72.57,Thu,19
9/10/15 20:00,810.1565819,0.865619722,210.5191633,71.62,Thu,20
9/10/15 21:00,825.2799514,0.885898056,206.2951233,70.83,Thu,21
9/10/15 22:00,846.7315667,0.977851945,205.8146833,70.83,Thu,22
9/10/15 23:00,804.6771983,1.017286111,216.6495206,70.98,Thu,23
9/11/15 0:00,780.2640472,1.032091388,216.6495206,70.11,Fri,00
9/11/15 1:00,776.9861083,1.032091388,200.5292556,69.81,Fri,01
9/11/15 2:00,739.8615394,151.1721703,197.9855464,69.49,Fri,02
9/11/15 3:00,1046.279826,361.3226722,207.4503392,69.62,Fri,03
9/11/15 4:00,1063.910091,406.9745356,223.7572697,69.64,Fri,04
