time,temp
9/1/15 0:00,67.87
9/1/15 1:00,67.69
9/1/15 2:00,67.25
9/1/15 3:00,66.7
9/1/15 4:00,65.85
9/1/15 5:00,68.43
9/1/15 6:00,72.99
9/1/15 7:00,78.83
9/1/15 8:00,82.54
9/1/15 9:00,84.58
9/1/15 10:00,86.82
9/1/15 11:00,87.63
9/1/15 12:00,88.59
9/1/15 13:00,88.19
9/1/15 14:00,88.19
9/1/15 15:00,86.53
9/1/15 16:00,82.42
9/1/15 17:00,76.06
9/1/15 18:00,74.37
9/1/15 19:00,72.86
9/1/15 20:00,71.72
9/1/15 21:00,70.11
9/1/15 22:00,70.11
9/1/15 23:00,70.06
9/2/15 0:00,70.08
9/2/15 1:00,68.79
9/2/15 2:00,68.57
9/2/15 3:00,67.71
9/2/15 4:00,67.8
9/2/15 5:00,71.73
9/2/15 6:00,77.5
9/2/15 7:00,82.02
9/2/15 8:00,85.88
9/2/15 9:00,88.73
9/2/15 10:00,89.78
9/2/15 11:00,90.62
9/2/15 12:00,90.05
9/2/15 13:00,89.24
9/2/15 14:00,88.91
9/2/15 15:00,85.48
9/2/15 16:00,82.31
9/2/15 17:00,79.53
9/2/15 18:00,75.15
9/2/15 19:00,72.51
9/2/15 20:00,70.83
9/2/15 21:00,69.66
9/2/15 22:00,68.12
9/2/15 23:00,67.25
9/3/15 0:00,66.71
9/3/15 1:00,66.19
9/3/15 2:00,65.56
9/3/15 3:00,65.32
9/3/15 4:00,64.47
9/3/15 5:00,68.2
9/3/15 6:00,73.42
9/3/15 7:00,78.12
9/3/15 8:00,81.49
9/3/15 9:00,83.56
9/3/15 10:00,84.72
9/3/15 11:00,86.34
9/3/15 12:00,87.61
9/3/15 13:00,87.1
9/3/15 14:00,85.38
9/3/15 15:00,83.39
9/3/15 16:00,80.16
9/3/15 17:00,76.7
9/3/15 18:00,73.72
9/3/15 19:00,73.08
9/3/15 20:00,71.72
9/3/15 21:00,70.35
9/3/15 22:00,70.11
9/3/15 23:00,68.98
9/4/15 0:00,68.44
9/4/15 1:00,68.25
9/4/15 2:00,67.71
9/4/15 3:00,67.91
9/4/15 4:00,67.17
9/4/15 5:00,71.58
9/4/15 6:00,76.48
9/4/15 7:00,81.44
9/4/15 8:00,84.48
9/4/15 9:00,85.99
9/4/15 10:00,88.88
9/4/15 11:00,85.26
9/4/15 12:00,78.24
9/4/15 13:00,77.37
9/4/15 14:00,78.78
9/4/15 15:00,77.39
9/4/15 16:00,75.34
9/4/15 17:00,73.58
9/4/15 18:00,71.76
9/4/15 19:00,70.93
9/4/15 20:00,70.34
9/4/15 21:00,70.08
9/4/15 22:00,69.12
9/4/15 23:00,69.02
9/5/15 0:00,68.17
9/5/15 1:00,67.36
9/5/15 2:00,67.05
9/5/15 3:00,68.34
9/5/15 4:00,68.83
9/5/15 5:00,70.24
9/5/15 6:00,70.95
9/5/15 7:00,72.73
9/5/15 8:00,76.18
9/5/15 9:00,77.53
9/5/15 10:00,78.97
9/5/15 11:00,79.92
9/5/15 12:00,76.9
9/5/15 13:00,80.12
9/5/15 14:00,77.89
9/5/15 15:00,78.08
9/5/15 16:00,76.03
9/5/15 17:00,73.3
9/5/15 18:00,71.58
9/5/15 19:00,70.86
9/5/15 20:00,69.3
9/5/15 21:00,67.78
9/5/15 22:00,66.73
9/5/15 23:00,66.02
9/6/15 0:00,65.59
9/6/15 1:00,64.97
9/6/15 2:00,65.26
9/6/15 3:00,64.48
9/6/15 4:00,64.14
9/6/15 5:00,65.43
9/6/15 6:00,68.7
9/6/15 7:00,72.49
9/6/15 8:00,74.53
9/6/15 9:00,76.52
9/6/15 10:00,77.12
9/6/15 11:00,78.85
9/6/15 12:00,79.63
9/6/15 13:00,79.78
9/6/15 14:00,79.33
9/6/15 15:00,78.71
9/6/15 16:00,76.01
9/6/15 17:00,73.72
9/6/15 18:00,72.34
9/6/15 19:00,71.75
9/6/15 20:00,71.2
9/6/15 21:00,71.26
9/6/15 22:00,70.48
9/6/15 23:00,70.93
9/7/15 0:00,70.83
9/7/15 1:00,70.93
9/7/15 2:00,70.93
9/7/15 3:00,70.83
9/7/15 4:00,70.53
9/7/15 5:00,71.1
9/7/15 6:00,72.9
9/7/15 7:00,75.41
9/7/15 8:00,77.46
9/7/15 9:00,80.03
9/7/15 10:00,81.91
9/7/15 11:00,83.07
9/7/15 12:00,83.32
9/7/15 13:00,83.43
9/7/15 14:00,83.7
9/7/15 15:00,81.99
9/7/15 16:00,78.09
9/7/15 17:00,75.86
9/7/15 18:00,74.23
9/7/15 19:00,73.48
9/7/15 20:00,71.47
9/7/15 21:00,70.01
9/7/15 22:00,69.91
9/7/15 23:00,69.62
9/8/15 0:00,69.67
9/8/15 1:00,68.49
9/8/15 2:00,68.98
9/8/15 3:00,68.34
9/8/15 4:00,68.52
9/8/15 5:00,70.08
9/8/15 6:00,72.01
9/8/15 7:00,74.88
9/8/15 8:00,77.2
9/8/15 9:00,81.74
9/8/15 10:00,82.65
9/8/15 11:00,85.49
9/8/15 12:00,84.63
9/8/15 13:00,85.42
9/8/15 14:00,85.22
9/8/15 15:00,84.49
9/8/15 16:00,80.98
9/8/15 17:00,76.76
9/8/15 18:00,75.84
9/8/15 19:00,74.47
9/8/15 20:00,73.52
9/8/15 21:00,73.09
9/8/15 22:00,71.82
9/8/15 23:00,71.51
9/9/15 0:00,71.41
9/9/15 1:00,71.31
9/9/15 2:00,70.68
9/9/15 3:00,69.73
9/9/15 4:00,69.74
9/9/15 5:00,72.64
9/9/15 6:00,77.87
9/9/15 7:00,80.91
9/9/15 8:00,83.35
9/9/15 9:00,86.15
9/9/15 10:00,85.99
9/9/15 11:00,87.51
9/9/15 12:00,87.29
9/9/15 13:00,86.6
9/9/15 14:00,87.66
9/9/15 15:00,86.21
9/9/15 16:00,82.68
9/9/15 17:00,79.51
9/9/15 18:00,77.72
9/9/15 19:00,74.61
9/9/15 20:00,73.29
9/9/15 21:00,71.97
9/9/15 22:00,71.97
9/9/15 23:00,72.39
9/10/15 0:00,72.93
9/10/15 1:00,73.05
9/10/15 2:00,72.73
9/10/15 3:00,72.83
9/10/15 4:00,72.83
9/10/15 5:00,73.58
9/10/15 6:00,74.46
9/10/15 7:00,75.83
9/10/15 8:00,78.75
9/10/15 9:00,81.64
9/10/15 10:00,83.71
9/10/15 11:00,85.35
9/10/15 12:00,86.24
9/10/15 13:00,85.66
9/10/15 14:00,80.26
9/10/15 15:00,74.64
9/10/15 16:00,72.76
9/10/15 17:00,71.75
9/10/15 18:00,72.66
9/10/15 19:00,72.57
9/10/15 20:00,71.62
9/10/15 21:00,70.83
9/10/15 22:00,70.83
9/10/15 23:00,70.98
9/11/15 0:00,70.11
9/11/15 1:00,69.81
9/11/15 2:00,69.49
9/11/15 3:00,69.62
9/11/15 4:00,69.64
9/11/15 5:00,70.44
9/11/15 6:00,71.14
9/11/15 7:00,73.58
9/11/15 8:00,74.77
9/11/15 9:00,77.19
9/11/15 10:00,78.13
9/11/15 11:00,79.21
9/11/15 12:00,81.66
9/11/15 13:00,80.26
9/11/15 14:00,81.1
9/11/15 15:00,80.55
9/11/15 16:00,76.76
9/11/15 17:00,74.78
9/11/15 18:00,72.63
9/11/15 19:00,72.53
9/11/15 20:00,72.34
9/11/15 21:00,71.16
9/11/15 22:00,69.81
9/11/15 23:00,69.67
9/12/15 0:00,69.96
9/12/15 1:00,70.05
9/12/15 2:00,69.42
9/12/15 3:00,69.33
9/12/15 4:00,68.93
9/12/15 5:00,70.2
9/12/15 6:00,72.25
9/12/15 7:00,73.4
9/12/15 8:00,74.47
9/12/15 9:00,75.68
9/12/15 10:00,76.28
9/12/15 11:00,75.39
9/12/15 12:00,76.86
9/12/15 13:00,74.2
9/12/15 14:00,71.56
9/12/15 15:00,70.29
9/12/15 16:00,68.85
9/12/15 17:00,67.88
9/12/15 18:00,66.61
9/12/15 19:00,66.61
9/12/15 20:00,65.75
9/12/15 21:00,66.39
9/12/15 22:00,64.97
9/12/15 23:00,64.14
9/13/15 0:00,63.44
9/13/15 1:00,62.26
9/13/15 2:00,60.88
9/13/15 3:00,59.93
9/13/15 4:00,58.9
9/13/15 5:00,59.95
9/13/15 6:00,62.14
9/13/15 7:00,64
9/13/15 8:00,66.7
9/13/15 9:00,69
9/13/15 10:00,71.08
9/13/15 11:00,71.36
9/13/15 12:00,73.51
9/13/15 13:00,73.3
9/13/15 14:00,70.86
9/13/15 15:00,69.91
9/13/15 16:00,66.33
9/13/15 17:00,62.73
9/13/15 18:00,60.91
9/13/15 19:00,59.35
9/13/15 20:00,57.5
9/13/15 21:00,56.86
9/13/15 22:00,54.07
9/13/15 23:00,53.62
9/14/15 0:00,51.93
9/14/15 1:00,50.34
9/14/15 2:00,50.17
9/14/15 3:00,50.24
9/14/15 4:00,50.85
9/14/15 5:00,55.18
9/14/15 6:00,60.97
9/14/15 7:00,63.7
9/14/15 8:00,67.88
9/14/15 9:00,69.7
9/14/15 10:00,71.05
9/14/15 11:00,73.12
9/14/15 12:00,74.47
9/14/15 13:00,74.95
9/14/15 14:00,74.66
9/14/15 15:00,73.1
9/14/15 16:00,66.31
9/14/15 17:00,61.67
9/14/15 18:00,58.89
9/14/15 19:00,56.47
9/14/15 20:00,54.89
9/14/15 21:00,53.18
9/14/15 22:00,51.81
9/14/15 23:00,51.08
9/15/15 0:00,51.62
9/15/15 1:00,50.2
9/15/15 2:00,50.01
9/15/15 3:00,50.31
9/15/15 4:00,49.32
9/15/15 5:00,55.73
9/15/15 6:00,64.03
9/15/15 7:00,69.72
9/15/15 8:00,73.63
9/15/15 9:00,77
9/15/15 10:00,77.73
9/15/15 11:00,79
9/15/15 12:00,79.83
9/15/15 13:00,79.83
9/15/15 14:00,79.1
9/15/15 15:00,76.76
9/15/15 16:00,70
9/15/15 17:00,64.89
9/15/15 18:00,61.55
9/15/15 19:00,59.21
9/15/15 20:00,58.21
9/15/15 21:00,56
9/15/15 22:00,56.01
9/15/15 23:00,54.41
9/16/15 0:00,54.89
9/16/15 1:00,53.62
9/16/15 2:00,52.59
9/16/15 3:00,51.61
9/16/15 4:00,51.51
9/16/15 5:00,56.54
9/16/15 6:00,65.4
9/16/15 7:00,71.02
9/16/15 8:00,73.83
9/16/15 9:00,75.58
9/16/15 10:00,77.43
9/16/15 11:00,77.53
9/16/15 12:00,78.9
9/16/15 13:00,78.26
9/16/15 14:00,78.18
9/16/15 15:00,73.75
9/16/15 16:00,68.63
9/16/15 17:00,65.43
9/16/15 18:00,63.79
9/16/15 19:00,63.16
9/16/15 20:00,62.87
9/16/15 21:00,61.2
9/16/15 22:00,60.33
9/16/15 23:00,60.23
9/17/15 0:00,59.59
9/17/15 1:00,58.66
9/17/15 2:00,58.22
9/17/15 3:00,57.49
9/17/15 4:00,57.32
9/17/15 5:00,59.5
9/17/15 6:00,66.22
9/17/15 7:00,72.26
9/17/15 8:00,75.48
9/17/15 9:00,77.29
9/17/15 10:00,78.26
9/17/15 11:00,78.93
9/17/15 12:00,79.99
9/17/15 13:00,80.89
9/17/15 14:00,80.03
9/17/15 15:00,78.39
9/17/15 16:00,72.14
9/17/15 17:00,67.04
9/17/15 18:00,64.97
9/17/15 19:00,64.2
9/17/15 20:00,62.82
9/17/15 21:00,63.08
9/17/15 22:00,59.24
9/17/15 23:00,58.32
9/18/15 0:00,58.67
9/18/15 1:00,57.2
9/18/15 2:00,55.9
9/18/15 3:00,54.85
9/18/15 4:00,55.22
9/18/15 5:00,59.76
9/18/15 6:00,67.07
9/18/15 7:00,71.47
9/18/15 8:00,75.44
9/18/15 9:00,78
9/18/15 10:00,79.73
9/18/15 11:00,80.65
9/18/15 12:00,81.65
9/18/15 13:00,82.29
9/18/15 14:00,82.1
9/18/15 15:00,79.73
9/18/15 16:00,72.09
9/18/15 17:00,66.64
9/18/15 18:00,64.98
9/18/15 19:00,64.25
9/18/15 20:00,63.57
9/18/15 21:00,62.4
9/18/15 22:00,61.35
9/18/15 23:00,62.47
9/19/15 0:00,61.75
9/19/15 1:00,61.11
9/19/15 2:00,61.75
9/19/15 3:00,61.74
9/19/15 4:00,61.89
9/19/15 5:00,63.63
9/19/15 6:00,66.51
9/19/15 7:00,70.3
9/19/15 8:00,75.43
9/19/15 9:00,79.39
9/19/15 10:00,80.65
