time,Output,Input,shorts,Total Input,Yield
9/1/15,13300,"13,765",0,"13,765",0.966218671
9/1/15,14700,"15,073",468,"15,541",0.945885078
9/1/15,27280,"26,904","1,133","28,037",0.972999964
9/1/15,27500,"26,904",0,"26,904",1.02215284
9/2/15,29920,"28,964",0,"28,964",1.033006491
9/2/15,29920,"28,964",0,"28,964",1.033006491
9/2/15,29920,"28,964","1,320","30,284",0.987980452
9/2/15,29920,"28,964",0,"28,964",1.033006491
9/3/15,28160,"28,964","1,540","30,504",0.923157619
9/3/15,29920,"28,964",220,"29,184",1.025219298
9/3/15,29920,"28,964","1,100","30,064",0.995210218
9/3/15,28160,"28,964",0,"28,964",0.972241403
9/4/15,26620,"28,964",0,"28,964",0.919071951
9/4/15,28820,"28,964",0,"28,964",0.995028311
9/4/15,18480,"20,213",348,"20,561",0.898788969
9/8/15,28160,"26,696","1,320","28,016",1.00513992
9/8/15,26840,"26,696","1,285","27,981",0.959222329
9/9/15,29920,"28,960",0,"28,960",1.033149171
9/9/15,28160,"28,960",0,"28,960",0.972375691
9/9/15,29920,"28,960",0,"28,960",1.033149171
9/9/15,28380,"29,142",0,"29,142",0.973852172
9/10/15,28160,"28,960",0,"28,960",0.972375691
9/10/15,29920,"28,960",220,"29,180",1.025359836
9/10/15,27940,"28,960",440,"29,400",0.950340136
9/10/15,27940,"28,960",0,"28,960",0.964779006
9/10/15,29920,"28,520","1,100","29,620",1.010128292
9/11/15,27940,"28,960",220,"29,180",0.957505141
9/11/15,20460,"20,213",0,"20,213",1.012219859
9/14/15,28000,"24,561",0,"24,561",1.140018729
9/14/15,28000,"24,561",0,"24,561",1.140018729
9/15/15,28000,"24,561",0,"24,561",1.140018729
9/15/15,24850,"24,561",0,"24,561",1.011766622
9/16/15,28000,"24,561",0,"24,561",1.140018729
9/16/15,27650,"24,561",0,"24,561",1.125768495
9/16/15,25900,"24,561",0,"24,561",1.054517324
9/17/15,19600,"19,309",0,"19,309",1.015070692
9/17/15,22400,"19,309",0,"19,309",1.160080791
9/17/15,22050,"19,309",0,"19,309",1.141954529
9/17/15,22050,"19,309",0,"19,309",1.141954529
9/18/15,17150,"19,309",0,"19,309",0.888186856
9/18/15,22400,"19,309",0,"19,309",1.160080791
9/18/15,20650,"20,159",0,"20,159",1.024356367
9/21/15,23980,"26,696",0,"26,696",0.898261912
9/22/15,28160,"29,142",0,"29,142",0.96630293
9/22/15,22880,"26,696",0,"26,696",0.857057237
9/22/15,29920,"26,696",0,"26,696",1.120767156
9/22/15,29920,"26,696",0,"26,696",1.120767156
9/23/15,29920,"28,960","1,540","30,500",0.980983607
9/23/15,14274,"13,765",0,"13,765",1.036977842
9/23/15,13300,"13,765",0,"13,765",0.966218671
9/23/15,27720,"29,142",0,"29,142",0.951204447
9/23/15,27720,"29,142",0,"29,142",0.951204447
9/24/15,29920,"28,960","1,540","30,500",0.980983607
9/24/15,29920,"28,960","1,540","30,500",0.980983607
9/24/15,29920,"28,960","1,540","30,500",0.980983607
9/24/15,29920,"28,960","1,320","30,280",0.988110964
9/25/15,28600,"28,960",257,"29,217",0.978882158
9/25/15,18920,"20,207","1,053","21,260",0.889934149
9/25/15,21120,"20,207",794,"21,001",1.005666397
9/28/15,31680,"31,294","1,684","32,978",0.960640427
9/28/15,31680,"31,294","1,627","32,921",0.962303697
9/29/15,29920,"28,960",0,"28,960",1.033149171
9/29/15,13825,"15,074",0,"15,074",0.917142099
9/29/15,31680,"28,984",220,"29,204",1.084782906
9/30/15,29920,"28,960","1,540","30,500",0.980983607
9/30/15,29920,"28,960","1,540","30,500",0.980983607
9/30/15,29040,"28,960","1,100","30,060",0.966067864
9/30/15,29920,"28,960","1,540","30,500",0.980983607
10/1/15,"28,160.00","28,960",0,"28,960",0.972375691
10/1/15,"29,920.00","28,960",0,"28,960",1.033149171
10/1/15,"29,920.00","28,960",0,"28,960",1.033149171
10/1/15,"28,160.00","28,960",0,"28,960",0.972375691
10/1/15,"27,500.00","28,960",0,"28,960",0.949585635
10/2/15,"27,940.00","28,960",0,"28,960",0.964779006
10/2/15,"28,160.00","28,960",0,"28,960",0.972375691
10/5/15,"25,520.00","28,960",0,"28,960",0.88121547
10/5/15,"26,600.00","26,203",0,"26,203",1.015150937
10/6/15,"12,950.00","14,757",0,"14,757",0.877549637
10/6/15,"30,100.00","29,514",0,"29,514",1.019854984
10/6/15,"23,800.00","24,556",0,"24,556",0.969213227
10/6/15,"24,850.00","26,203",0,"26,203",0.948364691
10/7/15,"24,850.00","24,556",0,"24,556",1.011972634
10/7/15,"23,100.00","24,556",0,"24,556",0.940706956
10/7/15,"24,500.00","24,556",0,"24,556",0.997719498
10/8/15,"19,600.00","19,246",0,"19,246",1.018393432
10/8/15,"17,500.00","19,246",0,"19,246",0.90927985
10/8/15,"23,450.00","24,556",0,"24,556",0.954960091
10/9/15,"19,600.00","19,246",0,"19,246",1.018393432
10/9/15,"19,600.00","17,926",0,"17,926",1.093383912
10/9/15,"18,900.00","19,246",0,"19,246",0.982022238
10/12/15,"28,160.00","26,696",880,"27,576",1.021177836
10/13/15,"29,920.00","28,972","1,540","30,512",0.980597798
10/13/15,"29,920.00","28,972","1,480","30,452",0.982529883
10/13/15,"14,000.00","15,074",0,"15,074",0.928751493
10/13/15,"14,000.00","15,074",0,"15,074",0.928751493
10/13/15,"29,040.00","29,145",0,"29,145",0.996397324
10/13/15,"23,760.00","26,696",660,"27,356",0.868548033
10/14/15,"29,920.00","28,972","1,540","30,512",0.980597798
10/14/15,"29,920.00","28,972","1,540","30,512",0.980597798
10/14/15,"29,920.00","28,972","1,540","30,512",0.980597798
10/14/15,"29,920.00","28,972","1,320","30,292",0.98771953
10/15/15,"29,920.00","28,972","1,100","30,072",0.994945464
10/15/15,"28,160.00","28,972",220,"29,192",0.964647849
10/15/15,"30,140.00","28,575",0,"28,575",1.054768154
10/15/15,"28,160.00","28,972",0,"28,972",0.971972939
10/15/15,"29,920.00","28,972","1,540","30,512",0.980597798
10/16/15,"28,160.00","28,960",0,"28,960",0.972375691
10/16/15,"24,860.00","28,960",440,"29,400",0.845578231
10/16/15,"20,680.00","20,207",440,"20,647",1.001598295
10/16/15,"19,140.00","20,207",620,"20,827",0.918999376
10/19/15,"27,280.00","26,696",0,"26,696",1.021875936
10/19/15,"28,160.00","26,696","1,290","27,986",1.006217394
10/19/15,"22,220.00","26,696","1,267","27,963",0.794621464
10/20/15,"29,920.00","28,959",0,"28,959",1.033184848
10/20/15,"12,775.00","13,763",0,"13,763",0.928213326
10/20/15,"12,600.00","13,763",0,"13,763",0.915498075
10/20/15,"29,260.00","29,145",0,"29,145",1.003945788
10/20/15,"25,300.00","29,145",0,"29,145",0.868073426
10/20/15,"29,700.00","29,145",0,"29,145",1.019042717
10/21/15,"29,920.00","28,574",0,"28,574",1.04710576
10/21/15,"28,160.00","28,959","1,320","30,279",0.930017504
10/21/15,"29,920.00","28,959","1,540","30,499",0.981015771
10/21/15,"28,160.00","28,959",0,"28,959",0.972409268
10/21/15,"28,160.00","28,959","1,100","30,059",0.936824246
10/22/15,"29,920.00","28,959",0,"28,959",1.033184848
10/22/15,"28,160.00","28,959",0,"28,959",0.972409268
10/22/15,"28,160.00","28,959",660,"29,619",0.950741078
10/22/15,"28,160.00","28,959",0,"28,959",0.972409268
10/22/15,"29,920.00","28,959","1,100","30,059",0.995375761
10/23/15,"26,620.00","28,959",0,"28,959",0.919230636
10/23/15,"28,160.00","28,959",0,"28,959",0.972409268
10/26/15,"28,160.00","26,696",626,"27,322",1.030671254
10/26/15,"28,160.00","26,696","1,320","28,016",1.00513992
10/26/15,"26,620.00","26,696",0,"26,696",0.997153132
10/27/15,"29,700.00","29,145",0,"29,145",1.019042717
10/27/15,"30,580.00","31,292",660,"31,952",0.957060591
10/27/15,"30,360.00","31,298",440,"31,738",0.956582015
10/27/15,"31,680.00","31,292","1,617","32,909",0.962654593
10/28/15,"29,920.00","28,959","1,540","30,499",0.981015771
10/28/15,"29,920.00","28,959","1,540","30,499",0.981015771
10/28/15,"28,820.00","28,959","1,540","30,499",0.944949015
10/28/15,"13,475.00","13,763",0,"13,763",0.97907433
10/28/15,"12,600.00","13,763",0,"13,763",0.915498075
10/28/15,"25,740.00","29,145",0,"29,145",0.883170355
10/29/15,"29,920.00","28,959",0,"28,959",1.033184848
10/29/15,"23,980.00","28,959",0,"28,959",0.828067268
10/29/15,"30,140.00","28,959",0,"28,959",1.040781795
10/29/15,"29,920.00","28,959",660,"29,619",1.010162396
10/29/15,"28,160.00","28,959",0,"28,959",0.972409268
10/30/15,"21,120.00","20,207",798,"21,005",1.005474887
10/30/15,"17,820.00","20,207",0,"20,207",0.881872618
11/2/15,19600,"19,246",0,"19,246",1.018393432
11/2/15,19600,"19,246",0,"19,246",1.018393432
11/2/15,28700,"29,514",0,"29,514",0.972419869
11/2/15,24500,"26,034",0,"26,034",0.941077053
11/2/15,26600,"26,034",0,"26,034",1.0217408
11/3/15,22400,"19,246",0,"19,246",1.163878208
11/3/15,19600,"19,246",0,"19,246",1.018393432
11/3/15,19600,"19,246",0,"19,246",1.018393432
11/3/15,19600,"19,246",0,"19,246",1.018393432
11/3/15,19600,"19,246",0,"19,246",1.018393432
11/3/15,24850,"24,446",0,"24,446",1.016526221
11/3/15,24850,"24,446",0,"24,446",1.016526221
11/4/15,25200,"24,446",0,"24,446",1.030843492
11/4/15,25200,"24,446",0,"24,446",1.030843492
11/4/15,22400,"24,446",0,"24,446",0.916305326
11/4/15,23100,"24,446",0,"24,446",0.944939867
11/4/15,25200,"24,446",0,"24,446",1.030843492
11/4/15,22400,"24,446",0,"24,446",0.916305326
11/4/15,23100,"24,446",0,"24,446",0.944939867
11/5/15,25200,"24,446",0,"24,446",1.030843492
11/5/15,25200,"24,446",0,"24,446",1.030843492
11/5/15,23450,"24,446",0,"24,446",0.959257138
11/5/15,7000,"8,860",0,"8,860",0.79006772
11/5/15,18200,"17,720",0,"17,720",1.027088036
11/9/15,29920,"28,959",0,"28,959",1.033184848
11/9/15,29920,"28,959",0,"28,959",1.033184848
11/9/15,29920,"28,959",880,"29,839",1.002714568
11/9/15,28160,"26,696","1,320","28,016",1.00513992
11/10/15,27720,"28,959",0,"28,959",0.957215373
11/10/15,29920,"28,959",0,"28,959",1.033184848
11/10/15,31240,"28,959",0,"28,959",1.078766532
11/10/15,22660,"28,959",0,"28,959",0.782485583
11/10/15,29920,"28,959",0,"28,959",1.033184848
11/10/15,30140,"28,959",0,"28,959",1.040781795
11/11/15,29920,"28,959",0,"28,959",1.033184848
11/11/15,29920,"28,959",0,"28,959",1.033184848
11/11/15,27720,"28,959",0,"28,959",0.957215373
11/11/15,29920,"28,959",0,"28,959",1.033184848
11/11/15,29920,"28,959",0,"28,959",1.033184848
11/11/15,26400,"28,959",0,"28,959",0.911633689
11/12/15,29920,"28,959","1,100","30,059",0.995375761
11/12/15,28160,"28,959",0,"28,959",0.972409268
11/12/15,29920,"28,959",0,"28,959",1.033184848
11/12/15,28160,"28,959",0,"28,959",0.972409268
11/12/15,29920,"28,959",880,"29,839",1.002714568
11/12/15,28160,"28,959",0,"28,959",0.972409268
11/13/15,29920,"28,959",0,"28,959",1.033184848
11/13/15,27500,"28,959",0,"28,959",0.949618426
11/13/15,20460,"20,207",660,"20,867",0.980495519
11/13/15,19580,"20,207",0,"20,207",0.968971149
11/16/15,24500,"26,370",0,"26,370",0.929086083
11/16/15,27300,"26,370",0,"26,370",1.035267349
11/16/15,27300,"26,370",0,"26,370",1.035267349
11/16/15,25200,"26,370",0,"26,370",0.955631399
11/16/15,25200,"26,370",0,"26,370",0.955631399
11/17/15,19600,"19,246",0,"19,246",1.018393432
11/17/15,19600,"19,246",0,"19,246",1.018393432
11/17/15,19600,"19,246",0,"19,246",1.018393432
11/17/15,19600,"19,246",0,"19,246",1.018393432
11/17/15,12600,"14,757",0,"14,757",0.85383208
11/17/15,30100,"29,514",0,"29,514",1.019854984
11/17/15,29750,"29,514",0,"29,514",1.007996205
11/18/15,20650,"19,246",0,"19,246",1.072950223
11/18/15,22400,"19,246",0,"19,246",1.163878208
11/18/15,19600,"19,246",0,"19,246",1.018393432
11/18/15,19600,"19,246",0,"19,246",1.018393432
11/18/15,19600,"19,246",0,"19,246",1.018393432
11/18/15,22400,"19,246",0,"19,246",1.163878208
11/18/15,24850,"24,446",0,"24,446",1.016526221
11/19/15,22400,"24,446",0,"24,446",0.916305326
11/19/15,25200,"24,446",0,"24,446",1.030843492
11/19/15,25200,"24,446",0,"24,446",1.030843492
11/19/15,25200,"24,446",0,"24,446",1.030843492
11/19/15,22400,"24,446",0,"24,446",0.916305326
11/19/15,24850,"24,446",0,"24,446",1.016526221
11/20/15,25200,"24,446",0,"24,446",1.030843492
11/20/15,19950,"24,446",0,"24,446",0.816084431
11/20/15,25200,"24,446",0,"24,446",1.030843492
11/23/15,14175,"15,074",0,"15,074",0.940360886
11/23/15,29480,"29,145",0,"29,145",1.011494253
11/23/15,26400,"26,696","1,320","28,016",0.942318675
11/23/15,28160,"26,696","1,168","27,864",1.010623026
11/24/15,29920,"28,959","1,540","30,499",0.981015771
11/24/15,29920,"28,959","1,320","30,279",0.988143598
11/24/15,29920,"28,959",0,"28,959",1.033184848
11/24/15,27500,"28,959",0,"28,959",0.949618426
11/24/15,28160,"28,959",0,"28,959",0.972409268
11/24/15,29920,"28,959","1,320","30,279",0.988143598
11/25/15,29920,"28,959",0,"28,959",1.033184848
11/25/15,29920,"28,959",0,"28,959",1.033184848
11/25/15,25520,"28,959",0,"28,959",0.881245899
11/30/15,19600,"19,250",0,"19,250",1.018181818
11/30/15,19600,"19,250",0,"19,250",1.018181818
11/30/15,19600,"19,250",0,"19,250",1.018181818
11/30/15,19600,"19,250",0,"19,250",1.018181818
11/30/15,19600,"19,250",0,"19,250",1.018181818
11/30/15,12600,"12,430",0,"12,430",1.013676589
11/30/15,19600,"20,580",0,"20,580",0.952380952
12/1/15,18900,"19,250",0,"19,250",0.981818182
12/1/15,19600,"19,250",0,"19,250",1.018181818
12/1/15,24850,"24,446",0,"24,446",1.016526221
12/1/15,25200,"24,446",0,"24,446",1.030843492
12/1/15,24850,"24,446",0,"24,446",1.016526221
12/1/15,25200,"24,446",0,"24,446",1.030843492
12/2/15,24850,"24,446",0,"24,446",1.016526221
12/2/15,22400,"24,446",0,"24,446",0.916305326
12/2/15,22400,"24,446",0,"24,446",0.916305326
12/2/15,25200,"24,446",0,"24,446",1.030843492
12/2/15,22400,"24,061",0,"24,061",0.930967125
12/2/15,25200,"24,446",0,"24,446",1.030843492
12/2/15,22400,"24,446",0,"24,446",0.916305326
12/3/15,18900,"19,250",0,"19,250",0.981818182
12/3/15,20300,"24,446",0,"24,446",0.830401702
12/3/15,25200,"24,446",0,"24,446",1.030843492
12/3/15,25200,"24,446",0,"24,446",1.030843492
12/3/15,19600,"18,720",0,"18,720",1.047008547
12/3/15,8400,"9,360",0,"9,360",0.897435897
