time,temperature
3/1/15 0:00,26.02
3/1/15 1:00,26.66
3/1/15 2:00,28.48
3/1/15 3:00,28.92
3/1/15 4:00,28.78
3/1/15 5:00,28
3/1/15 6:00,28.1
3/1/15 7:00,28.49
3/1/15 8:00,29.22
3/1/15 9:00,30.83
3/1/15 10:00,31.46
3/1/15 11:00,32.1
3/1/15 12:00,32.2
3/1/15 13:00,32.19
3/1/15 14:00,32.29
3/1/15 15:00,32.37
3/1/15 16:00,32.37
3/1/15 17:00,32.58
3/1/15 18:00,32.37
3/1/15 19:00,32.37
3/1/15 20:00,32.37
3/1/15 21:00,32.37
3/1/15 22:00,33.22
3/1/15 23:00,33.66
3/2/15 0:00,33.56
3/2/15 1:00,34.19
3/2/15 2:00,34.19
3/2/15 3:00,34.29
3/2/15 4:00,34.53
3/2/15 5:00,35.37
3/2/15 6:00,35.56
3/2/15 7:00,35.56
3/2/15 8:00,36.29
3/2/15 9:00,38.54
3/2/15 10:00,45.19
3/2/15 11:00,51.11
3/2/15 12:00,54.63
3/2/15 13:00,55.95
3/2/15 14:00,56.53
3/2/15 15:00,56.46
3/2/15 16:00,55.03
3/2/15 17:00,54.15
3/2/15 18:00,49.79
3/2/15 19:00,45.39
3/2/15 20:00,43.52
3/2/15 21:00,40.48
3/2/15 22:00,37.77
3/2/15 23:00,36.91
3/3/15 0:00,36.48
3/3/15 1:00,38.75
3/3/15 2:00,38.03
3/3/15 3:00,37.54
3/3/15 4:00,36.81
3/3/15 5:00,36.81
3/3/15 6:00,35.7
3/3/15 7:00,35.05
3/3/15 8:00,34.95
3/3/15 9:00,35.41
3/3/15 10:00,35.49
3/3/15 11:00,36.37
3/3/15 12:00,37.02
3/3/15 13:00,37.14
3/3/15 14:00,36.88
3/3/15 15:00,36.15
3/3/15 16:00,35.07
3/3/15 17:00,34.29
3/3/15 18:00,34.29
3/3/15 19:00,34.29
3/3/15 20:00,35.13
3/3/15 21:00,35.37
3/3/15 22:00,36
3/3/15 23:00,36.88
3/4/15 0:00,37.52
3/4/15 1:00,38.57
3/4/15 2:00,39.61
3/4/15 3:00,41.1
3/4/15 4:00,42.37
3/4/15 5:00,43.34
3/4/15 6:00,43.85
3/4/15 7:00,45.43
3/4/15 8:00,46.84
3/4/15 9:00,49.94
3/4/15 10:00,53.95
3/4/15 11:00,57.57
3/4/15 12:00,62.72
3/4/15 13:00,67.96
3/4/15 14:00,70.3
3/4/15 15:00,71.36
3/4/15 16:00,72.37
3/4/15 17:00,71.97
3/4/15 18:00,70.83
3/4/15 19:00,68.82
3/4/15 20:00,67.95
3/4/15 21:00,64.35
3/4/15 22:00,62.99
3/4/15 23:00,61.04
3/5/15 0:00,59.96
3/5/15 1:00,57.73
3/5/15 2:00,57.15
3/5/15 3:00,56.86
3/5/15 4:00,55.93
3/5/15 5:00,55.3
3/5/15 6:00,54.68
3/5/15 7:00,53.64
3/5/15 8:00,51.7
3/5/15 9:00,46.58
3/5/15 10:00,40.43
3/5/15 11:00,38.88
3/5/15 12:00,37.44
3/5/15 13:00,37.05
3/5/15 14:00,35.85
3/5/15 15:00,35.1
3/5/15 16:00,34.48
3/5/15 17:00,34.39
3/5/15 18:00,33.36
3/5/15 19:00,32.39
3/5/15 20:00,31.66
3/5/15 21:00,31.56
3/5/15 22:00,30.59
3/5/15 23:00,30.29
3/6/15 0:00,29.75
3/6/15 1:00,29.02
3/6/15 2:00,27.75
3/6/15 3:00,26.92
3/6/15 4:00,25.63
3/6/15 5:00,24.7
3/6/15 6:00,22.15
3/6/15 7:00,21.43
3/6/15 8:00,22.1
3/6/15 9:00,23.77
3/6/15 10:00,25.46
3/6/15 11:00,27.73
3/6/15 12:00,30.17
3/6/15 13:00,32.09
3/6/15 14:00,32.9
3/6/15 15:00,34.37
3/6/15 16:00,34.37
3/6/15 17:00,33.75
3/6/15 18:00,31.43
3/6/15 19:00,28.94
3/6/15 20:00,27.01
3/6/15 21:00,26.55
3/6/15 22:00,25.21
3/6/15 23:00,23.6
3/7/15 0:00,22.33
3/7/15 1:00,21.6
3/7/15 2:00,22.06
3/7/15 3:00,19.91
3/7/15 4:00,20.37
3/7/15 5:00,20.16
3/7/15 6:00,20.27
3/7/15 7:00,22.43
3/7/15 8:00,29.7
3/7/15 9:00,35.27
3/7/15 10:00,41.46
3/7/15 11:00,45.56
3/7/15 12:00,48.78
3/7/15 13:00,52.05
3/7/15 14:00,53.14
3/7/15 15:00,54.73
3/7/15 16:00,55.17
3/7/15 17:00,54.39
3/7/15 18:00,49.42
3/7/15 19:00,44.77
3/7/15 20:00,42.3
3/7/15 21:00,42.61
3/7/15 22:00,42.88
3/7/15 23:00,42.88
3/8/15 0:00,42.13
3/8/15 1:00,39.83
3/8/15 3:00,39.88
3/8/15 4:00,37.79
3/8/15 5:00,37.72
3/8/15 6:00,36.6
3/8/15 7:00,34.49
3/8/15 8:00,34.93
3/8/15 9:00,43.81
3/8/15 10:00,51.95
3/8/15 11:00,57.2
3/8/15 12:00,60.73
3/8/15 13:00,64.22
3/8/15 14:00,65.73
3/8/15 15:00,68.29
3/8/15 16:00,68.93
3/8/15 17:00,68.54
3/8/15 18:00,66.08
3/8/15 19:00,61.58
3/8/15 20:00,55.37
3/8/15 21:00,50.64
3/8/15 22:00,48.94
3/8/15 23:00,49.18
3/9/15 0:00,46.26
3/9/15 1:00,45.54
3/9/15 2:00,46.58
3/9/15 3:00,47.74
3/9/15 4:00,47.27
3/9/15 5:00,49.12
3/9/15 6:00,48.94
3/9/15 7:00,48.66
3/9/15 8:00,50.5
3/9/15 9:00,52.11
3/9/15 10:00,56.36
3/9/15 11:00,59.64
3/9/15 12:00,62.56
3/9/15 13:00,62.92
3/9/15 14:00,64.32
3/9/15 15:00,64.3
3/9/15 16:00,64.76
3/9/15 17:00,63.56
3/9/15 18:00,62.91
3/9/15 19:00,58.26
3/9/15 20:00,55.64
3/9/15 21:00,52.26
3/9/15 22:00,51.58
3/9/15 23:00,52.29
3/10/15 0:00,52.7
3/10/15 1:00,51.14
3/10/15 2:00,51.08
3/10/15 3:00,51.18
3/10/15 4:00,51.61
3/10/15 5:00,49.96
3/10/15 6:00,50.27
3/10/15 7:00,50.24
3/10/15 8:00,50.02
3/10/15 9:00,51.44
3/10/15 10:00,54.28
3/10/15 11:00,57.13
3/10/15 12:00,63.38
3/10/15 13:00,65.63
3/10/15 14:00,67.31
3/10/15 15:00,69.43
3/10/15 16:00,71.46
3/10/15 17:00,71.9
3/10/15 18:00,70.73
3/10/15 19:00,68.5
3/10/15 20:00,65.25
3/10/15 21:00,64.1
3/10/15 22:00,64.51
3/10/15 23:00,64.32
3/11/15 0:00,64.26
3/11/15 1:00,64.17
3/11/15 2:00,63.44
3/11/15 3:00,63.88
3/11/15 4:00,63.79
3/11/15 5:00,62.44
3/11/15 6:00,60.91
3/11/15 7:00,61.15
3/11/15 8:00,61.33
3/11/15 9:00,62.55
3/11/15 10:00,64.97
3/11/15 11:00,66.27
3/11/15 12:00,69.48
3/11/15 13:00,73.12
3/11/15 14:00,72.3
3/11/15 15:00,69.44
3/11/15 16:00,65.04
3/11/15 17:00,62.12
3/11/15 18:00,61.12
3/11/15 19:00,59.58
3/11/15 20:00,58.44
3/11/15 21:00,58.67
3/11/15 22:00,59.1
3/11/15 23:00,59.1
3/12/15 0:00,59.11
3/12/15 1:00,57.86
3/12/15 2:00,55.58
3/12/15 3:00,53.64
3/12/15 4:00,52.27
3/12/15 5:00,49.43
3/12/15 6:00,48.45
3/12/15 7:00,46.99
3/12/15 8:00,46.52
3/12/15 9:00,49.38
3/12/15 10:00,52.22
3/12/15 11:00,55.24
3/12/15 12:00,58.09
3/12/15 13:00,60.09
3/12/15 14:00,61.46
3/12/15 15:00,62.65
3/12/15 16:00,62.56
3/12/15 17:00,61.39
3/12/15 18:00,59.69
3/12/15 19:00,55.05
